Date,Open,High,Low,Close,Adj Close,Volume
2017-05-15,128333.500000,130354.500000,126534.812500,126534.812500,126534.812500,61242848
2017-05-16,130854.898438,133739.093750,126445.000000,128681.296875,128681.296875,231883702
2017-05-17,121416.039063,129461.796875,118596.078125,129166.000000,129166.000000,243607076
2017-05-18,103555.500000,158100.000000,103555.500000,147744.453125,147744.453125,698388015
2017-05-19,156341.843750,167216.343750,153765.437500,165376.046875,165376.046875,467518093
2017-05-20,136709.546875,168726.000000,133597.796875,165960.000000,165960.000000,562936320
2017-05-21,160560.000000,199362.000000,152532.000000,181981.375000,181981.375000,415645471
2017-05-22,182389.406250,182389.406250,182389.406250,182389.406250,182389.406250,0
2017-05-23,176676.984375,176676.984375,176676.984375,176676.984375,176676.984375,0
2017-05-24,181437.343750,181437.343750,181437.343750,181437.343750,181437.343750,0
2017-05-25,188645.875000,188645.875000,188645.875000,188645.875000,188645.875000,0
2017-05-26,179261.187500,179261.187500,179261.187500,179261.187500,179261.187500,0
2017-05-27,173140.734375,173140.734375,173140.734375,173140.734375,173140.734375,0
2017-05-28,158723.671875,158723.671875,158723.671875,158723.671875,158723.671875,0
2017-05-29,129046.289063,129046.289063,129046.289063,129046.289063,129046.289063,0
2017-05-30,136418.031250,136418.031250,136418.031250,136418.031250,136418.031250,0
2017-05-31,178039.687500,182364.000000,177996.000000,180180.000000,180180.000000,49369320
2017-06-01,184470.000000,184470.000000,184470.000000,184470.000000,184470.000000,0
2017-06-02,186632.000000,188896.625000,183218.000000,186063.000000,186063.000000,109591107
2017-06-03,168241.500000,183162.000000,168241.500000,183162.000000,183162.000000,191221128
2017-06-04,193664.000000,202259.203125,190410.875000,201258.234375,201258.234375,171874536
2017-06-05,201258.234375,212910.718750,195840.000000,210745.593750,210745.593750,332556556
2017-06-06,204353.500000,206569.000000,197295.546875,197295.546875,197295.546875,193152343
2017-06-07,202157.812500,204849.500000,195931.250000,198893.187500,198893.187500,161501270
2017-06-08,185461.921875,194533.921875,184464.000000,194533.921875,194533.921875,148623914
2017-06-09,165797.703125,184697.906250,162026.265625,184697.906250,184697.906250,202798305
2017-06-10,188761.218750,207208.000000,188761.218750,204574.000000,204574.000000,149952742
2017-06-11,154828.500000,188385.750000,152828.343750,183069.750000,183069.750000,405499496
2017-06-12,192243.906250,204455.406250,187708.203125,196779.593750,196779.593750,267817035
2017-06-13,201009.593750,206704.875000,189604.796875,194594.406250,194594.406250,366226660
2017-06-14,191837.093750,193242.500000,168648.000000,168648.000000,168648.000000,146049168
2017-06-15,189145.921875,191949.125000,182137.921875,185859.171875,185859.171875,212065312
2017-06-16,189837.312500,196773.421875,188971.203125,190438.593750,190438.593750,69510085
2017-06-17,189773.468750,195444.203125,186171.296875,186242.625000,186242.625000,60156369
2017-06-18,188931.953125,193201.203125,185313.953125,186327.000000,186327.000000,63723834
2017-06-19,198069.000000,201530.406250,190377.000000,199215.109375,199215.109375,131481972
2017-06-20,210222.187500,210222.187500,181820.796875,189207.265625,189207.265625,164988739
2017-06-21,194079.062500,208150.000000,183172.000000,193579.500000,193579.500000,177125242
2017-06-22,191510.250000,196040.593750,189541.609375,189549.843750,189549.843750,68048392
2017-06-23,194037.187500,199416.796875,188033.593750,188033.593750,188033.593750,66375860
2017-06-24,200543.906250,200543.906250,157377.500000,169967.703125,169967.703125,305601924
2017-06-25,180003.593750,198089.687500,152384.000000,180956.000000,180956.000000,510838788
2017-06-26,170107.000000,174583.500000,17897.050781,174583.500000,174583.500000,314948634
2017-06-27,157521.000000,183362.515625,151058.593750,183362.515625,183362.515625,343988087
2017-06-28,196369.046875,197251.453125,175615.296875,181740.203125,181740.203125,153025256
2017-06-29,183483.875000,190401.203125,174680.000000,175990.093750,175990.093750,77963614
2017-06-30,185722.546875,185722.546875,173740.453125,173740.453125,173740.453125,135170070
2017-07-01,166370.093750,180933.000000,164604.906250,180933.000000,180933.000000,66945210
2017-07-02,189112.500000,189112.500000,174352.500000,174352.500000,174352.500000,79853445
2017-07-03,182970.906250,192651.906250,182012.484375,182012.484375,182012.484375,62794305
2017-07-04,184513.015625,186466.000000,174689.203125,181559.000000,181559.000000,113837493
2017-07-05,180671.000000,183112.500000,177741.203125,177750.968750,177750.968750,31106419
2017-07-06,188926.375000,193057.625000,176460.000000,176460.000000,176460.000000,75701340
2017-07-07,176630.000000,187009.609375,166240.000000,183383.500000,183383.500000,106179046
2017-07-08,186207.500000,186207.500000,175130.000000,177134.500000,177134.500000,21256140
2017-07-09,190398.593750,190398.593750,158760.000000,158760.000000,158760.000000,187178040
2017-07-10,169260.000000,176997.593750,120912.093750,160797.000000,160797.000000,493807587
2017-07-11,141246.000000,161424.000000,131688.000000,157707.000000,157707.000000,154552860
2017-07-12,169141.500000,187821.093750,156054.390625,173128.000000,173128.000000,164990984
2017-07-13,170544.000000,170544.000000,150348.000000,160109.406250,160109.406250,80535028
2017-07-14,166102.796875,166102.796875,145616.406250,147886.203125,147886.203125,96717574
2017-07-15,156271.500000,156271.500000,147.600006,136530.000000,136530.000000,291491550
2017-07-16,129870.000000,150930.000000,128700.000000,150930.000000,150930.000000,204962940
2017-07-17,130935.000000,157314.843750,121800.000000,152239.843750,152239.843750,262004781
2017-07-18,173988.406250,179800.000000,151971.593750,151971.593750,151971.593750,229781059
2017-07-19,164286.546875,188100.000000,164286.546875,186219.000000,186219.000000,159217245
2017-07-20,182506.500000,184350.000000,172318.093750,172318.093750,172318.093750,67376373
2017-07-21,171336.625000,183153.359375,171336.625000,182016.906250,182016.906250,46778343
2017-07-22,179186.843750,180401.875000,173268.093750,178344.750000,178344.750000,51184943
2017-07-23,181161.500000,182078.000000,177214.437500,177434.406250,177434.406250,31051020
2017-07-24,182806.796875,185085.593750,167459.593750,167459.593750,167459.593750,190066634
2017-07-25,165597.453125,170565.000000,161850.000000,168062.546875,168062.546875,111929658
2017-07-26,176971.890625,180918.000000,172396.500000,176985.000000,176985.000000,57166155
2017-07-27,196695.000000,200993.156250,184310.500000,184310.500000,184310.500000,127727176
2017-07-28,166600.500000,184380.000000,156723.000000,184380.000000,184380.000000,116343780
2017-07-29,194456.093750,197260.000000,183198.187500,185297.593750,185297.593750,74119036
2017-07-30,187533.265625,189658.000000,181102.000000,189658.000000,189658.000000,88380628
2017-07-31,160531.000000,181037.937500,159324.000000,172601.000000,172601.000000,183474863
2017-08-01,177463.000000,183543.906250,176966.593750,176966.593750,176966.593750,91314765
2017-08-02,177251.796875,182721.000000,177139.937500,180235.000000,180235.000000,44698280
2017-08-03,187920.000000,189799.203125,185328.000000,185457.593750,185457.593750,45066196
2017-08-04,183883.500000,212025.000000,183883.500000,208298.500000,208298.500000,240584767
2017-08-05,197762.000000,208632.203125,193980.000000,207522.000000,207522.000000,171620694
2017-08-06,213985.796875,219521.000000,209519.906250,217005.000000,217005.000000,55119270
2017-08-07,199065.000000,225030.000000,199065.000000,225018.453125,225018.453125,216467758
2017-08-08,220923.671875,226486.703125,201674.000000,215258.671875,215258.671875,311909812
2017-08-09,218488.500000,227355.000000,212750.000000,223859.000000,223859.000000,130509797
2017-08-10,229698.796875,235398.203125,224200.000000,233640.000000,233640.000000,132006600
2017-08-11,248688.000000,270040.000000,248688.000000,255972.796875,255972.796875,242918187
2017-08-12,279002.187500,284738.312500,260110.000000,265654.437500,265654.437500,243073821
2017-08-13,280402.250000,293335.000000,280402.250000,293335.000000,293335.000000,50453620
2017-08-14,294350.000000,294350.000000,268279.000000,279850.000000,279850.000000,136007100
2017-08-15,281008.000000,298319.843750,280280.000000,298319.843750,298319.843750,121117855
2017-08-16,292173.125000,292173.125000,278070.000000,285185.750000,285185.750000,52474176
2017-08-17,280785.968750,282204.000000,275184.000000,275886.000000,275886.000000,26760942
2017-08-18,278244.000000,286032.000000,277550.156250,281642.406250,281642.406250,49005777
2017-08-19,271100.687500,272600.000000,269874.000000,271782.187500,271782.187500,21470793
2017-08-20,247854.203125,273460.000000,246176.156250,261067.296875,261067.296875,303621258
2017-08-21,274089.156250,280575.000000,258403.046875,261130.500000,261130.500000,155111517
2017-08-22,261130.500000,270135.000000,261000.000000,270135.000000,270135.000000,68074020
2017-08-23,274482.000000,286880.093750,269456.468750,286880.093750,286880.093750,115899560
2017-08-24,286014.687500,289518.000000,276298.000000,289227.156250,289227.156250,121186180
2017-08-25,285507.906250,285795.000000,274050.000000,285338.250000,285338.250000,84745460
2017-08-26,272437.906250,276923.500000,270382.000000,276612.000000,276612.000000,107602068
2017-08-27,279498.000000,289570.000000,278868.500000,289570.000000,289570.000000,100770360
2017-08-28,283130.000000,299133.000000,283130.000000,299120.687500,299120.687500,157636603
2017-08-29,290130.062500,301485.000000,285377.937500,301485.000000,301485.000000,287315205
2017-08-30,307797.500000,328520.500000,304750.000000,328520.500000,328520.500000,204339751
2017-08-31,338492.000000,347723.593750,334799.375000,339120.000000,339120.000000,137343600
2017-09-01,353970.000000,356264.250000,288420.000000,301530.000000,301530.000000,510188760
2017-09-02,301300.000000,328810.000000,301300.000000,324866.906250,324866.906250,101358472
2017-09-03,351897.812500,351897.812500,284935.187500,319275.000000,319275.000000,706236300
2017-09-04,311625.000000,329436.093750,281293.500000,329062.156250,329062.156250,252061606
2017-09-05,323835.156250,340750.000000,316352.312500,324762.000000,324762.000000,235127695
2017-09-06,329050.875000,331412.375000,320392.000000,325363.593750,325363.593750,85895990
2017-09-07,332069.125000,335587.500000,307186.187500,307186.187500,307186.187500,220559691
2017-09-08,309577.593750,316840.000000,306316.625000,307868.812500,307868.812500,105906867
2017-09-09,307220.187500,319725.000000,295568.000000,314751.500000,314751.500000,176575591
2017-09-10,312979.500000,320751.000000,296871.312500,298425.593750,298425.593750,121757644
2017-09-11,298214.406250,316288.000000,290801.406250,292566.406250,292566.406250,134873110
2017-09-12,290287.187500,300486.468750,263191.875000,294196.000000,294196.000000,360978479
2017-09-13,304275.500000,304275.500000,218799.000000,218799.000000,218799.000000,398651778
2017-09-14,216548.343750,286800.000000,202194.000000,272460.000000,272460.000000,718749480
2017-09-15,276260.000000,303886.000000,261720.000000,279168.000000,279168.000000,282518016
2017-09-16,274752.000000,280476.000000,259726.500000,280118.250000,280118.250000,105044343
2017-09-17,264495.000000,288553.750000,264495.000000,287853.000000,287853.000000,184225920
2017-09-18,288900.500000,288900.500000,259058.937500,269194.593750,269194.593750,76451263
2017-09-19,267047.281250,273600.000000,261438.484375,269509.687500,269509.687500,39348413
2017-09-20,276011.000000,279499.500000,259185.000000,259185.000000,259185.000000,75941205
2017-09-21,254005.000000,262929.500000,251259.000000,254005.000000,254005.000000,68581350
2017-09-22,244940.000000,264786.750000,244940.000000,258180.000000,258180.000000,56025060
2017-09-23,253820.000000,262237.500000,248640.000000,256345.250000,256345.250000,57421336
2017-09-24,263273.500000,264670.000000,259363.296875,259363.296875,259363.296875,7780899
2017-09-25,264897.750000,264897.750000,258240.000000,263620.000000,263620.000000,48242460
2017-09-26,266168.000000,274316.000000,260790.312500,274316.000000,274316.000000,131123048
2017-09-27,279164.000000,280573.625000,270084.250000,276400.000000,276400.000000,44500400
2017-09-28,284200.000000,284200.000000,274253.000000,283489.500000,283489.500000,70021906
2017-09-29,286482.000000,287200.000000,284313.625000,286482.000000,286482.000000,23491524
2017-09-30,288876.000000,288876.000000,279710.156250,282504.812500,282504.812500,10170172
2017-10-01,289791.468750,296339.000000,289791.468750,291905.000000,291905.000000,7589530
2017-10-02,291510.000000,295185.250000,286373.531250,287820.000000,287820.000000,37128780
2017-10-03,281385.000000,287878.500000,278499.000000,278499.000000,278499.000000,29242395
2017-10-04,282417.531250,290390.875000,280910.625000,290259.187500,290259.187500,33960326
2017-10-05,280339.187500,288252.000000,272709.000000,278361.000000,278361.000000,98261433
2017-10-06,280331.000000,291715.000000,280331.000000,287303.687500,287303.687500,28155762
2017-10-07,300831.000000,305301.000000,290550.000000,290550.000000,290550.000000,18304650
2017-10-08,313560.000000,327983.750000,311984.156250,313560.000000,313560.000000,83406960
2017-10-09,310440.000000,323176.000000,310440.000000,312350.406250,312350.406250,54348969
2017-10-10,312154.187500,318995.500000,312154.187500,317006.750000,317006.750000,25994553
2017-10-11,358052.250000,361245.531250,354476.218750,361245.531250,361245.531250,19146012
2017-10-12,336318.156250,362790.062500,328763.062500,362790.062500,362790.062500,165236356
2017-10-13,373415.687500,374528.468750,347844.156250,362263.500000,362263.500000,44692449
2017-10-14,355321.187500,365839.250000,337891.375000,355876.343750,355876.343750,59150208
2017-10-15,363630.875000,381159.125000,358801.718750,364603.750000,364603.750000,40937710
2017-10-16,374326.531250,374326.531250,357742.000000,357742.000000,357742.000000,37920652
2017-10-17,358954.000000,361486.593750,342963.125000,344738.000000,344738.000000,172872317
2017-10-18,360064.000000,385043.906250,360064.000000,370751.218750,370751.218750,21911397
2017-10-19,395864.406250,403682.625000,378612.468750,378612.468750,378612.468750,55826410
2017-10-20,383581.656250,391419.593750,381330.812500,391365.593750,391365.593750,62837660
2017-10-21,396825.625000,412626.375000,392758.656250,392759.687500,392759.687500,12945359
2017-10-22,403015.718750,409378.875000,389523.906250,393689.500000,393689.500000,83651144
2017-10-23,351164.218750,375404.437500,351164.218750,368813.750000,368813.750000,193273152
2017-10-24,384495.281250,389843.125000,373902.406250,379653.562500,379653.562500,29392777
2017-10-25,391021.593750,403729.156250,390022.906250,397574.375000,397574.375000,7760651
2017-10-26,378188.687500,397816.656250,376126.687500,390744.187500,390744.187500,50105127
2017-10-27,392553.187500,405671.875000,386693.812500,405671.875000,405671.875000,11476457
2017-10-28,421042.968750,421671.750000,401792.937500,411462.968750,411462.968750,26905562
2017-10-30,405789.812500,414589.187500,399602.000000,403735.468750,403735.468750,91296699
2017-10-31,429196.875000,467281.687500,429196.875000,450286.718750,450286.718750,124909538
2017-11-01,494249.906250,513039.062500,468733.156250,468733.156250,468733.156250,223670094
