Date,Open,High,Low,Close,Adj Close,Volume
1992-09-04,45.000000,45.000000,45.000000,45.000000,15.929459,0
1992-09-07,42.500000,46.250000,42.500000,46.250000,16.371937,0
1992-09-08,45.000000,47.500000,42.500000,45.000000,15.929459,0
1992-09-09,42.500000,47.500000,42.500000,47.500000,16.814421,0
1992-09-10,null,null,null,null,null,null
1992-09-11,45.000000,47.500000,45.000000,47.500000,16.814421,0
1992-09-14,43.750000,47.500000,43.750000,45.000000,15.929459,0
1992-09-15,45.000000,48.750000,45.000000,47.500000,16.814421,0
1992-09-16,45.000000,47.500000,45.000000,47.500000,16.814421,0
1992-09-17,42.500000,47.500000,42.500000,45.000000,15.929459,0
1992-09-18,42.500000,47.500000,42.500000,47.500000,16.814421,0
1992-09-21,45.000000,47.500000,43.750000,43.750000,15.486967,0
1992-09-22,43.750000,46.250000,42.500000,45.000000,15.929459,0
1992-09-23,null,null,null,null,null,null
1992-09-24,42.500000,45.500000,42.500000,45.000000,15.929459,0
1992-09-25,42.500000,45.000000,42.500000,45.000000,15.929459,0
1992-09-28,42.500000,45.000000,42.500000,45.000000,15.929459,0
1992-09-29,42.500000,45.000000,42.500000,45.000000,15.929459,0
1992-09-30,42.500000,45.000000,40.000000,42.500000,15.044486,0
1992-10-01,40.000000,43.750000,40.000000,43.750000,15.486967,0
1992-10-02,null,null,null,null,null,null
1992-10-05,null,null,null,null,null,null
1992-10-06,40.000000,42.500000,40.000000,42.500000,15.044486,0
1992-10-07,null,null,null,null,null,null
1992-10-08,37.500000,41.250000,37.500000,40.000000,14.159516,0
1992-10-09,36.250000,40.000000,36.250000,38.750000,13.717031,0
1992-10-12,37.500000,40.000000,36.250000,38.750000,13.717031,0
1992-10-13,32.500000,37.500000,32.500000,37.500000,13.274543,0
1992-10-14,35.000000,35.000000,32.500000,32.500000,11.504605,0
1992-10-15,32.500000,35.000000,32.500000,35.000000,12.389574,0
1992-10-16,null,null,null,null,null,null
1992-10-19,null,null,null,null,null,null
1992-10-20,33.750000,36.250000,32.500000,35.000000,12.389574,0
1992-10-21,32.500000,35.000000,32.500000,35.000000,12.389574,0
1992-10-22,32.500000,35.000000,32.500000,33.750000,11.947089,0
1992-10-23,null,null,null,null,null,null
1992-10-26,null,null,null,null,null,null
1992-10-27,null,null,null,null,null,null
1992-10-28,31.250000,34.250000,31.250000,34.250000,12.124086,0
1992-10-29,31.250000,33.750000,30.000000,32.500000,11.504605,0
1992-10-30,30.000000,32.500000,30.000000,32.500000,11.504605,0
1992-11-02,null,null,null,null,null,null
1992-11-03,30.000000,32.500000,30.000000,32.500000,11.504605,0
1992-11-04,28.750000,32.000000,28.750000,32.000000,11.327610,0
1992-11-05,28.750000,32.500000,28.750000,30.000000,10.619635,0
1992-11-06,29.000000,31.250000,28.750000,31.250000,11.062120,0
1992-11-09,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-10,null,null,null,null,null,null
1992-11-11,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-12,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-13,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-16,null,null,null,null,null,null
1992-11-17,null,null,null,null,null,null
1992-11-18,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-19,27.500000,30.000000,26.250000,28.750000,10.177150,0
1992-11-20,27.500000,30.000000,26.250000,30.000000,10.619635,0
1992-11-23,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-24,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-25,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-26,27.500000,30.000000,27.000000,30.000000,10.619635,0
1992-11-27,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-11-30,27.500000,30.000000,27.500000,30.000000,10.619635,0
1992-12-01,28.000000,30.000000,28.000000,30.000000,10.619635,0
1992-12-02,29.000000,32.500000,13.000000,13.000000,4.601843,0
1992-12-03,32.500000,35.000000,32.500000,35.000000,12.389574,0
1992-12-04,36.250000,38.750000,35.000000,38.750000,13.717031,0
1992-12-07,null,null,null,null,null,null
1992-12-08,null,null,null,null,null,null
1992-12-09,null,null,null,null,null,null
1992-12-10,33.750000,34.000000,33.750000,33.750000,11.947089,0
1992-12-11,32.500000,35.000000,32.500000,35.000000,12.389574,0
1992-12-14,32.500000,35.000000,30.000000,32.500000,11.504605,0
